AREA_CD,LOCATION,TITLE,RATING,FOOD_CATEGORY,VIEW_COUNT,REVIEW_COUNT,ADDRESS,CATEGORY,NO,AREA_NM,PLACE_LOCATION,RELATION1,RELATION2,RELATION3,PLACE_INFO,PLACE_URL
POI001,강남,미라이,4.8,이자카야 / 오뎅 / 꼬치,"557,955",139,서울특별시 강남구 논현로153길 24 끌레르빌 1F,,,,,,,,,
POI001,강남,시라카와,4.8,이자카야 / 오뎅 / 꼬치,"355,431",77,서울특별시 강남구 선릉로161길 7 1F,,,,,,,,,
POI001,강남,페리지,4.8,기타 양식,"75,927",43,서울특별시 강남구 봉은사로68길 6-5 1F,,,,,,,,,
POI001,강남,명랑회관,4.8,고기 요리,"85,131",58,서울특별시 강남구 삼성로85길 39,,,,,,,,,
POI001,강남,상진식감,4.8,까스 요리,"49,491",55,서울특별시 강남구 도산대로11길 31-10 B1,,,,,,,,,
POI001,강남,패티앤베지스,4.7,브런치 / 버거 / 샌드위치,"74,101",98,서울특별시 강남구 압구정로4길 11 1F,,,,,,,,,
POI001,강남,까폼,4.7,태국 음식,"114,365",72,서울특별시 강남구 선릉로153길 18 B1,,,,,,,,,
POI001,강남,맛짱조개,4.7,해산물 요리,"148,027",66,서울특별시 강남구 언주로136길 10,,,,,,,,,
POI001,강남,빈호,4.7,퓨전 양식,"11,534",10,서울특별시 강남구 학동로43길 38 논현웰스톤 162호,,,,,,,,,
POI001,강남,스시카나에,4.6,회 / 스시,"419,891",112,서울특별시 강남구 도산대로75길 15 노노빌딩 2F,,,,,,,,,
POI002,동대문,비엘티스테이크,4.3,스테이크 / 바베큐,"259,758",73,서울특별시 종로구 청계천로 279 JW메리어트 호텔 동대문 스퀘어 서울 2F,,,,,,,,,
POI002,동대문,포항,4.3,베트남 음식,"21,696",13,서울특별시 종로구 종로 309-3,,,,,,,,,
POI002,동대문,차차,4.2,카페 / 디저트,"21,148",21,서울특별시 종로구 종로46가길 13,,,,,,,,,
POI002,동대문,동북화과왕,4.2,기타 중식,"48,431",32,서울특별시 종로구 종로46길 11 2F,,,,,,,,,
POI002,동대문,무지개호프,4.1,치킨 / 호프 / 펍,"8,769",6,서울특별시 종로구 창신길 12,,,,,,,,,
POI002,동대문,창신동매운족발,3.9,고기 요리,"51,720",67,서울특별시 종로구 종로51길 23,,,,,,,,,
POI002,동대문,타볼로24,3.7,뷔페,"32,227",20,서울특별시 종로구 청계천로 279 JW메리어트 호텔 동대문 스퀘어 서울 2F,,,,,,,,,
